seed,score,lost
9600740,10,False
9600741,11,False
9600742,12,False
9600743,14,False
9600744,11,False
9600745,14,False
9600746,12,False
9600747,10,False
9600748,13,False
9600749,14,False
9600750,14,False
9600751,12,False
9600752,11,False
9600753,13,False
9600754,9,False
9600755,12,False
9600756,12,False
9600757,10,False
9600758,14,False
9600759,12,False
9600760,9,False
9600761,14,False
9600762,11,False
9600763,12,False
9600764,13,False
9600765,12,False
9600766,14,False
9600767,12,False
9600768,16,False
9600769,11,False
9600770,13,False
9600771,10,False
9600772,14,False
9600773,10,False
9600774,12,False
9600775,12,False
9600776,14,False
9600777,12,False
9600778,10,False
9600779,9,False
9600780,11,False
9600781,12,False
9600782,10,False
9600783,13,False
9600784,12,False
9600785,16,False
9600786,12,False
9600787,12,False
9600788,12,False
9600789,12,False
9600790,14,False
9600791,14,False
9600792,10,False
9600793,11,False
9600794,13,False
9600795,13,False
9600796,13,False
9600797,13,False
9600798,7,False
9600799,16,False
9600800,12,False
9600801,12,False
9600802,14,False
9600803,14,False
9600804,11,False
9600805,12,False
9600806,12,False
9600807,11,False
9600808,13,False
9600809,10,False
9600810,12,False
9600811,12,False
9600812,16,False
9600813,14,False
9600814,12,False
9600815,13,False
9600816,10,False
9600817,13,False
9600818,11,False
9600819,11,False
9600820,8,False
9600821,12,False
9600822,11,False
9600823,10,False
9600824,10,False
9600825,11,False
9600826,14,False
9600827,11,False
9600828,10,False
9600829,12,False
9600830,13,False
9600831,8,False
9600832,11,False
9600833,11,False
9600834,12,False
9600835,12,False
9600836,13,False
9600837,13,False
9600838,16,False
9600839,16,False
9600840,12,False
9600841,14,False
9600842,14,False
9600843,13,False
9600844,12,False
9600845,12,False
9600846,12,False
9600847,12,False
9600848,13,False
9600849,13,False
9600850,10,False
9600851,14,False
9600852,14,False
9600853,13,False
9600854,12,False
9600855,9,False
9600856,14,False
9600857,9,False
9600858,11,False
9600859,12,False
9600860,14,False
9600861,13,False
9600862,10,False
9600863,13,False
9600864,12,False
9600865,11,False
9600866,12,False
9600867,12,False
9600868,12,False
9600869,14,False
9600870,14,False
9600871,11,False
9600872,12,False
9600873,10,False
9600874,11,False
9600875,11,False
9600876,12,False
9600877,12,False
9600878,13,False
9600879,9,False
9600880,13,False
9600881,10,False
9600882,13,False
9600883,12,False
9600884,14,False
9600885,14,False
9600886,10,False
9600887,12,False
9600888,11,False
9600889,10,False
9600890,13,False
9600891,12,False
9600892,14,False
9600893,12,False
9600894,10,False
9600895,14,False
9600896,12,False
9600897,12,False
9600898,13,False
9600899,13,False
9600900,17,False
9600901,14,False
9600902,12,False
9600903,12,False
9600904,16,False
9600905,14,False
9600906,12,False
9600907,16,False
9600908,9,False
9600909,10,False
9600910,13,False
9600911,14,False
9600912,8,False
9600913,10,False
9600914,9,False
9600915,12,False
9600916,11,False
9600917,13,False
9600918,9,False
9600919,11,False
9600920,11,False
9600921,14,False
9600922,11,False
9600923,14,False
9600924,11,False
9600925,16,False
9600926,14,False
9600927,16,False
9600928,11,False
9600929,10,False
9600930,14,False
9600931,14,False
9600932,14,False
9600933,12,False
9600934,12,False
9600935,14,False
9600936,16,False
9600937,11,False
9600938,14,False
9600939,8,False
9600940,9,False
9600941,14,False
9600942,14,False
9600943,13,False
9600944,10,False
9600945,10,False
9600946,16,False
9600947,14,False
9600948,10,False
9600949,12,False
9600950,12,False
9600951,14,False
9600952,10,False
9600953,6,False
9600954,14,False
9600955,12,False
9600956,11,False
9600957,8,False
9600958,11,False
9600959,11,False
9600960,9,False
9600961,11,False
9600962,11,False
9600963,12,False
9600964,10,False
9600965,11,False
9600966,10,False
9600967,11,False
9600968,8,False
9600969,10,False
9600970,11,False
9600971,13,False
9600972,12,False
9600973,12,False
9600974,10,False
9600975,10,False
9600976,14,False
9600977,14,False
9600978,14,False
9600979,13,False
9600980,12,False
9600981,12,False
9600982,13,False
9600983,7,False
9600984,8,False
9600985,14,False
9600986,12,False
9600987,13,False
9600988,10,False
9600989,10,False
9600990,9,False
9600991,16,False
9600992,12,False
9600993,8,False
9600994,12,False
9600995,13,False
9600996,12,False
9600997,12,False
9600998,14,False
9600999,9,False
