策略,是否失败,总分,回合数,seed,达到12+,达到14+
neural_ai,True,0,14,1200244,0,0
neural_ai,True,0,7,1200245,0,0
neural_ai,True,0,7,1200246,0,0
neural_ai,True,0,7,1200247,0,0
neural_ai,True,0,7,1200248,0,0
neural_ai,True,0,14,1200249,0,0
neural_ai,True,0,7,1200250,0,0
neural_ai,True,0,7,1200251,0,0
neural_ai,True,0,7,1200252,0,0
neural_ai,True,0,7,1200253,0,0
neural_ai,True,0,7,1200254,0,0
neural_ai,True,0,14,1200255,0,0
neural_ai,True,0,14,1200256,0,0
neural_ai,True,0,7,1200257,0,0
neural_ai,False,8,21,1200258,0,0
neural_ai,True,0,7,1200259,0,0
neural_ai,True,0,14,1200260,0,0
neural_ai,False,8,21,1200261,0,0
neural_ai,True,0,7,1200262,0,0
neural_ai,False,6,21,1200263,0,0
neural_ai,False,6,21,1200264,0,0
neural_ai,True,0,7,1200265,0,0
neural_ai,False,6,21,1200266,0,0
neural_ai,True,0,7,1200267,0,0
neural_ai,True,0,14,1200268,0,0
neural_ai,True,0,7,1200269,0,0
neural_ai,True,0,7,1200270,0,0
neural_ai,True,0,7,1200271,0,0
neural_ai,True,0,14,1200272,0,0
neural_ai,False,9,21,1200273,0,0
neural_ai,True,0,7,1200274,0,0
neural_ai,True,0,14,1200275,0,0
neural_ai,True,0,7,1200276,0,0
neural_ai,True,0,7,1200277,0,0
neural_ai,True,0,7,1200278,0,0
neural_ai,True,0,14,1200279,0,0
neural_ai,True,0,14,1200280,0,0
neural_ai,True,0,7,1200281,0,0
neural_ai,True,0,14,1200282,0,0
neural_ai,True,0,7,1200283,0,0
neural_ai,True,0,7,1200284,0,0
neural_ai,True,0,14,1200285,0,0
neural_ai,True,0,7,1200286,0,0
neural_ai,True,0,14,1200287,0,0
neural_ai,False,7,21,1200288,0,0
neural_ai,True,0,7,1200289,0,0
neural_ai,True,0,7,1200290,0,0
neural_ai,True,0,14,1200291,0,0
neural_ai,True,0,14,1200292,0,0
neural_ai,True,0,14,1200293,0,0
neural_ai,True,0,7,1200294,0,0
neural_ai,False,9,21,1200295,0,0
neural_ai,True,0,7,1200296,0,0
neural_ai,False,7,21,1200297,0,0
neural_ai,True,0,7,1200298,0,0
neural_ai,True,0,14,1200299,0,0
neural_ai,True,0,7,1200300,0,0
neural_ai,True,0,14,1200301,0,0
neural_ai,True,0,14,1200302,0,0
neural_ai,True,0,7,1200303,0,0
neural_ai,True,0,7,1200304,0,0
neural_ai,True,0,7,1200305,0,0
neural_ai,True,0,7,1200306,0,0
neural_ai,False,9,21,1200307,0,0
neural_ai,True,0,7,1200308,0,0
neural_ai,False,3,21,1200309,0,0
neural_ai,True,0,7,1200310,0,0
neural_ai,True,0,7,1200311,0,0
neural_ai,True,0,7,1200312,0,0
neural_ai,True,0,7,1200313,0,0
neural_ai,True,0,7,1200314,0,0
neural_ai,True,0,7,1200315,0,0
neural_ai,True,0,7,1200316,0,0
neural_ai,True,0,7,1200317,0,0
neural_ai,True,0,14,1200318,0,0
neural_ai,True,0,14,1200319,0,0
neural_ai,True,0,7,1200320,0,0
neural_ai,True,0,7,1200321,0,0
neural_ai,True,0,7,1200322,0,0
neural_ai,True,0,7,1200323,0,0
neural_ai,True,0,7,1200324,0,0
neural_ai,True,0,14,1200325,0,0
neural_ai,True,0,14,1200326,0,0
neural_ai,True,0,7,1200327,0,0
neural_ai,True,0,14,1200328,0,0
neural_ai,True,0,14,1200329,0,0
neural_ai,True,0,7,1200330,0,0
neural_ai,True,0,7,1200331,0,0
neural_ai,True,0,7,1200332,0,0
neural_ai,True,0,14,1200333,0,0
neural_ai,True,0,14,1200334,0,0
neural_ai,True,0,7,1200335,0,0
neural_ai,True,0,14,1200336,0,0
neural_ai,True,0,7,1200337,0,0
neural_ai,True,0,14,1200338,0,0
neural_ai,True,0,14,1200339,0,0
neural_ai,True,0,7,1200340,0,0
neural_ai,True,0,14,1200341,0,0
neural_ai,True,0,7,1200342,0,0
neural_ai,True,0,7,1200343,0,0
neural_ai,True,0,7,1200344,0,0
neural_ai,True,0,14,1200345,0,0
neural_ai,True,0,14,1200346,0,0
neural_ai,True,0,7,1200347,0,0
neural_ai,False,9,21,1200348,0,0
neural_ai,False,6,21,1200349,0,0
neural_ai,True,0,14,1200350,0,0
neural_ai,True,0,7,1200351,0,0
neural_ai,True,0,7,1200352,0,0
neural_ai,False,6,21,1200353,0,0
neural_ai,True,0,7,1200354,0,0
neural_ai,True,0,7,1200355,0,0
neural_ai,False,8,21,1200356,0,0
neural_ai,True,0,14,1200357,0,0
neural_ai,True,0,7,1200358,0,0
neural_ai,True,0,14,1200359,0,0
neural_ai,True,0,7,1200360,0,0
neural_ai,True,0,14,1200361,0,0
neural_ai,True,0,14,1200362,0,0
neural_ai,True,0,7,1200363,0,0
neural_ai,True,0,7,1200364,0,0
neural_ai,True,0,7,1200365,0,0
neural_ai,True,0,7,1200366,0,0
neural_ai,True,0,7,1200367,0,0
neural_ai,True,0,7,1200368,0,0
neural_ai,True,0,14,1200369,0,0
neural_ai,True,0,14,1200370,0,0
neural_ai,True,0,14,1200371,0,0
neural_ai,True,0,7,1200372,0,0
neural_ai,True,0,7,1200373,0,0
neural_ai,True,0,14,1200374,0,0
neural_ai,True,0,7,1200375,0,0
neural_ai,True,0,14,1200376,0,0
neural_ai,False,6,21,1200377,0,0
neural_ai,True,0,7,1200378,0,0
neural_ai,True,0,14,1200379,0,0
neural_ai,True,0,7,1200380,0,0
neural_ai,False,10,21,1200381,0,0
neural_ai,False,9,21,1200382,0,0
neural_ai,False,7,21,1200383,0,0
neural_ai,True,0,7,1200384,0,0
neural_ai,True,0,7,1200385,0,0
neural_ai,True,0,7,1200386,0,0
neural_ai,False,7,21,1200387,0,0
neural_ai,True,0,7,1200388,0,0
neural_ai,True,0,7,1200389,0,0
neural_ai,True,0,7,1200390,0,0
neural_ai,True,0,7,1200391,0,0
neural_ai,True,0,7,1200392,0,0
neural_ai,True,0,7,1200393,0,0
neural_ai,True,0,7,1200394,0,0
neural_ai,True,0,14,1200395,0,0
neural_ai,True,0,7,1200396,0,0
neural_ai,True,0,7,1200397,0,0
neural_ai,True,0,7,1200398,0,0
neural_ai,True,0,14,1200399,0,0
neural_ai,True,0,14,1200400,0,0
neural_ai,True,0,14,1200401,0,0
neural_ai,True,0,14,1200402,0,0
neural_ai,False,6,21,1200403,0,0
neural_ai,True,0,14,1200404,0,0
neural_ai,True,0,7,1200405,0,0
neural_ai,True,0,7,1200406,0,0
neural_ai,True,0,14,1200407,0,0
neural_ai,False,9,21,1200408,0,0
neural_ai,True,0,14,1200409,0,0
neural_ai,True,0,7,1200410,0,0
neural_ai,False,7,21,1200411,0,0
neural_ai,True,0,7,1200412,0,0
neural_ai,True,0,14,1200413,0,0
neural_ai,True,0,7,1200414,0,0
neural_ai,True,0,14,1200415,0,0
neural_ai,True,0,7,1200416,0,0
neural_ai,True,0,14,1200417,0,0
neural_ai,True,0,14,1200418,0,0
neural_ai,False,6,21,1200419,0,0
neural_ai,True,0,7,1200420,0,0
neural_ai,True,0,7,1200421,0,0
neural_ai,True,0,7,1200422,0,0
neural_ai,True,0,14,1200423,0,0
neural_ai,True,0,14,1200424,0,0
neural_ai,True,0,7,1200425,0,0
neural_ai,True,0,7,1200426,0,0
neural_ai,True,0,14,1200427,0,0
neural_ai,True,0,7,1200428,0,0
neural_ai,True,0,14,1200429,0,0
neural_ai,False,7,21,1200430,0,0
neural_ai,True,0,21,1200431,0,0
neural_ai,True,0,7,1200432,0,0
neural_ai,True,0,14,1200433,0,0
neural_ai,True,0,14,1200434,0,0
neural_ai,True,0,14,1200435,0,0
neural_ai,True,0,7,1200436,0,0
neural_ai,True,0,7,1200437,0,0
neural_ai,True,0,7,1200438,0,0
neural_ai,True,0,7,1200439,0,0
neural_ai,True,0,14,1200440,0,0
neural_ai,True,0,14,1200441,0,0
neural_ai,False,6,21,1200442,0,0
neural_ai,True,0,14,1200443,0,0
neural_ai,True,0,7,1200444,0,0
neural_ai,False,10,21,1200445,0,0
neural_ai,True,0,7,1200446,0,0
neural_ai,False,7,21,1200447,0,0
neural_ai,True,0,14,1200448,0,0
neural_ai,True,0,7,1200449,0,0
neural_ai,True,0,7,1200450,0,0
neural_ai,True,0,7,1200451,0,0
neural_ai,True,0,7,1200452,0,0
neural_ai,True,0,7,1200453,0,0
neural_ai,True,0,7,1200454,0,0
neural_ai,True,0,7,1200455,0,0
neural_ai,True,0,7,1200456,0,0
neural_ai,True,0,7,1200457,0,0
neural_ai,True,0,14,1200458,0,0
neural_ai,True,0,14,1200459,0,0
neural_ai,True,0,14,1200460,0,0
neural_ai,False,7,21,1200461,0,0
neural_ai,True,0,14,1200462,0,0
neural_ai,True,0,14,1200463,0,0
neural_ai,True,0,7,1200464,0,0
neural_ai,True,0,14,1200465,0,0
neural_ai,True,0,7,1200466,0,0
neural_ai,True,0,14,1200467,0,0
neural_ai,True,0,14,1200468,0,0
neural_ai,True,0,7,1200469,0,0
neural_ai,True,0,7,1200470,0,0
neural_ai,False,9,21,1200471,0,0
neural_ai,True,0,7,1200472,0,0
neural_ai,True,0,14,1200473,0,0
neural_ai,True,0,14,1200474,0,0
neural_ai,True,0,7,1200475,0,0
neural_ai,True,0,7,1200476,0,0
neural_ai,True,0,14,1200477,0,0
neural_ai,True,0,7,1200478,0,0
neural_ai,True,0,21,1200479,0,0
neural_ai,True,0,14,1200480,0,0
neural_ai,True,0,14,1200481,0,0
neural_ai,True,0,7,1200482,0,0
neural_ai,True,0,7,1200483,0,0
neural_ai,True,0,14,1200484,0,0
neural_ai,True,0,14,1200485,0,0
neural_ai,True,0,14,1200486,0,0
neural_ai,False,6,21,1200487,0,0
neural_ai,True,0,14,1200488,0,0
neural_ai,True,0,7,1200489,0,0
